Account info: Library Tag;Machine(s): Last contact;Machine(s): Last inventory;Machine(s): Operating system;Machine(s): User;Machine(s): User agent;Computer;
LIB7PC15;2017-05-23 10:54:17;2017-05-23 10:54:17;Microsoft Windows 10 Education;maheena1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC15;
LIB7PC16;2017-05-22 23:46:59;2017-05-22 23:46:59;Microsoft Windows 10 Education;joshsen1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC16;
LIB7PC17;2017-05-23 05:55:24;2017-05-23 05:55:24;Microsoft Windows 10 Education;janampa1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC17;
LIB7PC18;2017-05-21 23:22:27;2017-05-21 23:22:27;Microsoft Windows 10 Education;devo7;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC18;
LIB7PC19;2017-05-23 09:27:31;2017-05-23 09:27:31;Microsoft Windows 10 Education;janampa1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC19;
LIB7PC20;2017-05-22 18:18:07;2017-05-22 18:18:07;Microsoft Windows 10 Education;aa18;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC20;
LIB7PC21;2017-05-23 10:15:17;2017-05-23 10:15:17;Microsoft Windows 10 Education;kenbohr1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC21;
LIB7PC23;2017-05-23 06:51:54;2017-05-23 06:51:54;Microsoft Windows 10 Education;owoeye1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC23;
LIB7PC24;2017-05-23 11:54:13;2017-05-23 11:54:13;Microsoft Windows 10 Education;yr12850;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC24;
LIB7PC25;2017-05-23 01:20:55;2017-05-23 01:20:55;Microsoft Windows 10 Education;emerson5;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC25;
LIB7PC26;2017-05-22 19:26:47;2017-05-22 19:26:47;Microsoft Windows 10 Education;gitambi1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC26;
LIB7PC27;2017-05-22 20:57:52;2017-05-22 20:57:52;Microsoft Windows 10 Education;fkme;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC27;
LIB7PC28;2017-05-23 03:15:23;2017-05-23 03:15:23;Microsoft Windows 10 Education;fkme;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC28;
LIB7PC29;2017-05-23 02:23:30;2017-05-23 02:23:30;Microsoft Windows 10 Education;ZK60851;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC29;
LIB7PC30;2017-05-23 04:37:31;2017-05-23 04:37:31;Microsoft Windows 10 Education;armelle1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;LIB7PC30;
RCL1PC17;2017-02-08 15:06:04;2017-02-08 15:06:04;Microsoft Windows 10 Education;Administrator;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RCL1PC17;
RCL1PC17;2017-05-22 17:36:42;2017-05-22 17:36:42;Microsoft Windows 10 Education;cw9;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC17;
RLC1PC01;2017-05-23 13:50:51;2017-05-23 13:50:51;Microsoft Windows 10 Education;abooth3;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC01;
RLC1PC02;2017-04-10 23:19:38;2017-04-10 23:19:38;Microsoft Windows 10 Education;fikirej1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC02;
RLC1PC03;2017-05-21 13:38:30;2017-05-21 13:38:30;Microsoft Windows 10 Education;nguyen15;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC03;
RLC1PC04;2017-05-23 06:38:32;2017-05-23 06:38:32;Microsoft Windows 10 Education;rchurch1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC04;
RLC1PC05;2017-05-21 08:40:12;2017-05-21 08:40:12;Microsoft Windows 10 Education;dom6;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC05;
RLC1PC06;2017-05-22 22:57:52;2017-05-22 22:57:52;Microsoft Windows 10 Education;yo06819;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC06;
RLC1PC07;2017-05-21 10:07:21;2017-05-21 10:07:21;Microsoft Windows 10 Education;mcleodj1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC07;
RLC1PC08;2017-05-23 13:38:25;2017-05-23 13:38:25;Microsoft Windows 10 Education;francm1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC08;
RLC1PC09;2017-05-22 06:55:30;2017-05-22 06:55:30;Microsoft Windows 10 Education;abkasim1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC09;
RLC1PC10;2017-05-21 05:34:00;2017-05-21 05:34:00;Microsoft Windows 10 Education;sx96298;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC10;
RLC1PC11;2017-05-23 09:27:14;2017-05-23 09:27:14;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC11;
RLC1PC12;2017-05-22 21:48:23;2017-05-22 21:48:23;Microsoft Windows 10 Education;tent1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC12;
RLC1PC13;2017-05-23 09:34:39;2017-05-23 09:34:39;Microsoft Windows 10 Education;trann1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC13;
RLC1PC14;2017-05-22 09:24:14;2017-05-22 09:24:14;Microsoft Windows 10 Education;ry13;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC14;
RLC1PC16;2017-05-23 14:51:29;2017-05-23 14:51:29;Microsoft Windows 10 Education;aokg99;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLC1PC16;
RLCMEET;2017-05-23 15:16:13;2017-05-23 15:16:13;Microsoft Windows 10 Education;besset1;OCS-NG_WINDOWS_AGENT_v2.0.4.0;RLCMEET;
